word,mark,definition,pronunciation,example
link,,,,
listless,,lacking enthusiasm,LIST lis,
litany,,a prolonged or tedious and boring account of something,LIT un ee,
literal,,,,
lithe,,supple,,
litigate; relitigate,,to try in court; to engage in legal proceedings,,
litigious,,prone to engage in lawsuits,luh TIJ us,
littered,,,,
lockstep,,progressing at exactly the same speed and in the same direction as other people or things,in lockstep,
lookback,,,,
loom; loomed; looming,,,looming problem of …,
loquacious,,given to excessive talking,,
louse,,a person who has an unethical character undeserving of respect,,
lucid,,clear; easy to understand,LOO sid,
lucrative,,,,
lugubrious,,"mournful, especially to an exaggerated degree",loo GOO bree us,
lukewarm,,only moderately warm; tepid,,
lull,,to cause to relax vigilance,,
luminous,,giving off light; glowing; bright,,
"lunatic, lunacy",,,,
lure,,,,
lurid,,"gruesome, horrifying, causing shock or horror",,a lurid spark
luring; luringly,,,,
lust; lustily,,,,
luster/lustre???,,,,
luxury,,,,
Machiavellian,,"crafty, deceitful; characterized by the political principles and methods of expediency, craftiness, and duplicity advocated in Michiavelli's book The Prince",,
maelstrom,,,,
magnanimous,,generous,,
magnanimous,,generous; courageously or generously noble in mind and heart,mag NAN uh mus,
"magnanimous, magnanimity",,forgiving; unresentful; noble in spirit; generous,,
magnate,,"a rich, powerful, or very successful businessman",,
mainstay,,,,
majors (major company),,,,
makeshift,,,,
malaise,,"feeling of depression, uneasiness, or queasiness",,
malefactor,,a person who violates the law; criminal; culprit,,
malevolent,,wishing evil or harm to another or others; showing ill will; ill-disposed; malicious,,
malfeasance,,"an illegal act, especially by a public official",,
malign,,,,
malignant,,causing harm,,
"malinger, malingering",,to pretend to be sick to avoid doing work,,
malleable,,easy to shape or bend,,
mandate (n or v),,a command or authorization to do something; to command or require,,
mandatory,,authoritatively ordered or commanded; necessary,,
mangling,,,,
"mania, manic",,,,
manifest [itself]; manifestly; manifestation,,"visible; evident, made obvious",,
manifestation,,,,
manifold,,"various, multiple, of many kinds",,
mantra,,,,
map,,,,
mar; marred [by],,"to damage, expecially in a disfiguring way",MAR,
marginal,,,,
marginalize,,reduce to insignificance,,
mark,,,,
mark; marked,,,ignominous: marked by failure or humiliation in public,
markedly,,,,
marshal,,to gather together for the purpose of doing something,MAHR shul,
marvelous,,,,
mask,,,,
masquerading,,,,
match; matched,,,,
material; materially,,,,
materialize,,,,
materially,,,,
matriculate,,"to become admitted to membership in a body, society, or institution",,
matter; mattering,,,such matters,
maudlin,,silly and overly sentimental,,
maverick,,a nonconformist; a rebel; an independent,MAV rik,
maxim,,a fundamental principle; an old saying,,
meager,,deficient in quantity or quality; lacking fullness or richness; scanty; inadequate,,
meander; meandering,,to wander aimlessly,,meander through
meaningless,,largely meaningless,,
means [of],,,,
mechanism,,,,
meddle; meddling; meddlesome,,,,
medial,,,,
mediate; mediator (as opposed to facilitator),,to help settle differences,"""a facilitator, not a mediator""",
mediocre; mediocrity,,average; standard; typical; ordinary; common; of only ordinary or moderate quality; barely adequate,,
meliorative,,resulting in or leading toward betterment,,
mellifluous,,sweetly flowing,,
melodrama; melodramatic,,,,
melancholy,true,depression of  spirits; gloomy; weary,MEL un kahl ee,"beset with melancholy; brought a touch of melancholy to her remembrances of her grandmother; The best word to describe Jim is melancholy; no matter the situation, he always walks around looking like he had lost his best friends.; It was a melancholy day, gloomy and dark."
"menace, menacingly",,,,
mend,,,,
mendacious; mendacity,,habitually dishonest; untruthful,men DAY shus,
mendicant,,begging; practicing begging; living on alms,,
mercenary,,working or acting solely by a desire for money; venal,MUR sin air ee,
mercurial,,emotionally unpredictable; rapidly changing in mood,,
mere; merely,,,,
merit; merited,,,,
meritorious,,,,
metaphor; metaphoric; metaphorical; metaphorically,,"a figure of speech in which a term or phrase ordinarily associated with one thing is applied to something else, to indicate that in some way they are similar; a symbolic representation of one thing for another; similes and metaphors",MEH tah for,
metastisize,,to spread to other parts of the body by metastasis; to change form or matter; to transform,,
methodical,,,,
methodically,,,,
meticulous,,paying close attention to details; careful and precise,meh TIK yoo lus,meticulously documented; meticulous with designs
microcosm/macrocosm,,miniature version of the world/large-scale representation of something,,
midday,,,,
might,,,,
mildly,,,,
milestone,,,,
milieu,,"environment or surroundings, especially of a social or cultural nature",MILL yoo,
minefield,,,,
mingle,,,,
miniscule,,very tiny,,
minority,,,minority opinion,
minutest,,,MYE noo TIST,
minutiae,,,,
mirage; mirage-like,,unreal reflection; an optical illusion,muh RAJ,Her beauty was mostly a mirage created by the art of cosmetics.
"mire, mired [in]",,to involve; entangle,,
mirth; mirthless,,amusement or laughter,,
mischief,,,,
mischievous,,maliciously or playfully annoying,,
misconceive; misconception,,,,
misconduct,,,,
misconstrue,,,,
miserly; miser,,penurious; stingy,,
misgivings,,,,
mislead; misleadingly,,,,misleading behavior
"mispeak, mispoke",,"to speak incorrectly, inaccurately, inappropriately, or hastily",,
missclassification,,,,
misvalued,,,,
mitigate,,to moderate the effect of something,,
mnemonic,,,,
moan,,,,
mobile,,,,
mobilize,,,,
mock; mockery,,constituting a copy or imitation of something; the act of mocking or ridiculing; treat with contempt,,
modal; modalities; modality,,,,
mode; modality,,a way or method of doing something; type; manner; fashion,mowd,dressed in the mode of his contemporaries; a laid-back mode
restraint,,,,a model of restraint
moderate (v.); moderation,,"to reduce excessiveness, severity, or intensity",in moderation,
modicum,,"a small, moderate, or token amount",MAHD ik um,
modular,,,,
modulate; modulated,,"to reduce or regulate; to lessen the intensity of; temper, control",MAHJ uh layt,
mollify; mollifying,,"to quiet, to soothe, to lessen, making more agreeable, concliatory",,
momentarily,,,,
momentary,,,,
momentous,,,,
momentum,,,,
monger,,"eg, race monger, excuse monger",,
moniker,,,,
"monoline, multiline",,,,
monolithic,,"massive, solid, uniform, and unyielding",,
monotonically,,,,
monotonous; monotonously,,lacking in variety,,
moot,,"rendered irrelevant by circumstances, no longer of practical significance",,are moot
morass,,"any confusing or troublesome situation, especially one from which it is difficult to free oneself; entanglement",MUH ras,
moratorium,,a suspension of activity,,
morbidity,,,asthma morbidity (intensity?),
moribund,,,,
morose,,gloomy; sullen,,
"mortify, mortified",,to humiliate,,
mosaic,,a design or decoration made up of small pieces,,
"motility, motile",,spontaneous movement,,
motivator; motivator,,to provide with an incentive or a reason for doing something; impel; to cause to be enthusiastic,primary motivator; secondary motivator; motivating agent,
motive,,"incentive, stimulus",,
mount; mounted,,,the deficit mounts,
mounting,,,,
mourn,,,,
muddle,,to mix up in a confused manner,,
multifaceted,,having many sides; having many different aspects or features,multifaceted task/problem,
multifarious,,"many and various, diverse",mul ti FAYR ee us,
multilateral,,involving more than two groups,,
multiple expansion (price-multiple expansion),,,,
multiplicity,,a great number; state of being various or manifold; variety,mul tuh PLI sit ee,
multitude [of],,,,
mundane,,ordinary; pretty boring; not heavenly and eternal,,
"munificent, munificently",,"very generous; lavish, characterized by great liberality",,
murky,,,,
muse,,to ponder; to meditate; to think about at length,myooz,he never mused over what the problem might be; Chess is a musing game of skill; muses over all the possible moves; it is fun to muse about what you would do if you actually won
mutable,,changeable,,
muted,,,,
muttered,,,,
mutual,,"sharing the same emotion, doing the same to or for eachother",,
"myopia, myopic",,nearsightedness; lack of foresight,mahy-op-ik,
myriad (n or adj),,an extremely large number,MIR ee ud,a myriad of career opportunities; a myriad of stars; a myriad of things to do
naïve,,,,
naïve; naivete,,,,
namely,,,,
narcisistic,,having an excessive self-admiration,,
narrowed,,,,
nascent,,"beginning to exist or develop, about to be; still in the early stages of growth  and development",NAY sent,
navigate; navigation,,,,
near; nearby,,,antonym: distant,
nebulous,,an idea or plan that is vague and not well thought out; ill-defined; lacking concretes; vague or indistinct; unclear; hazy,NEB yuh lus,
necessarily,,,,
necessitate,,,,
nefarious; nefariousness,,disreputable; unethical; detestable; extremely wicked or villainous; iniquitous,huh FAYR ee us; nefarious intent,
negation,,,,
"neglect, negligence",,carelessness; failure to exercise the care that a reasonably prudent person would exercise in like circumstances,,
neophyte,,a beginner,,
nepotism,,showing favoritism to family or friends in business or politics,NEP uh tiz um,He was not above a little nepotism
neurosis,,,,
neurotic,,,,
neutral; neutrality; neutralize,,,,
nexus,,"connection; interconnection, link",,
niceties,,,,
"nick, nicked",,to cut into or through slightly,,
"nihilistic, nihilism",,the belief that there are no values or morals in the universe,,
nimble,,light and quick; active and sure-footed; quick moving,nimble in avoiding the difficult questions,
"nominal, nominally",,"in name only, not actual; insignificant; a thing of relatively minor importance; an insignificant amount or volume of something",,
nominate,,,,
nominative,,,,
essential; nonessential,,,,"essential, not incidental to; Is it essential or incidental?"
nonsense; nonsensical,,,,
nontrivial,,,,
non-trivial,,,,
nook,,,,
normalcy,,,,
normative,,"of or pertaining to a norm,  especially an assumed norm",nawr-muh-tiv; normative source,
nostrums,,,,
notable; notably,,,,
notation,,,,
notion,,,,
notional,,"Existing as or based on a suggestion, estimate, or theory, not existing in reality; effective value",,
notional; notionally,,,,
notoriety,,,,
"notorious, notoriously",,,,
notwithstanding,,in spite of; without being opposed or prevented by; although,,
"novel, novelty",,new and innovative,,
noxious,,physically or mentally destructive; morally harmful; offensive; pernicious,NOCK shuss,cheap perfume is sometimes noxious; noxious fumes of the fire
nuance; nuanced,,"a subtle difference or distinction in meaning, expression, or tone",bittersweet nuance; nuance of disdain,
nullify; nullified,,"to render or declare legally void or inoperative: to nullify a contract; to deprive (something) of value or effectiveness; make futile, valueless, or ineffective",,
numerous,,,,
obdurate; obduracy,,the quality or state of being hard or resistent,He was obdurate and resisted the pleadings of his friends.,
obfuscate,,to darken; to confuse; to make confusing,AWB foo skate,obfuscate what we already know
object  [that],,,,
obligation; obligatory,,,,
"oblique, obliquely",true,at an angle neither perpendicular or parallel; indirect or evasive; not straightforward,oh BLEEK,oblique angles; An oblique triangle has no right angles.; politician's oblique answers to the press's questions raised many questions about his integrity.
"oblivious, oblivion",,unaware; total forgetfulness; the state of being completely forgotten or unknown,,
obscene,,,,
"obscure (v, adj), obscurity",,unkown; hard to understand; dark,obscure the facts; obscure rather than elucidate,
obsequious,,excessively submissive; fawning and servile; obedient or attentive to an excessive or servile degree; sycophantic,ub SEE kwee us,
observe; observation,,,,
obsessive,true,,,
obsolete; obsolescence,,,,
obstacle,,,,
obstinate; obstinately,,"intractable adherence to a purpose, opinion, or idea; stubborn",OB stin it,
obstruct; obstructed; obstruction,,,,
"obsure, obscured, obscurity",," to conceal or conceal by confusing;  not clear or plain; ambiguous, vague, or uncertain",,
obtain,,,,
obtrude,,to thrust out; push forward,,
obtrusive,,,,
obtuse; obtusely; obtuseness,true,lacking intelligence; not quick or alert in perception or feeling; insensitive; dull-witted; dimwitted,ob TOOS,Don't be obtuse.; The obtuse boy failed every class.; The contract was so obtusely written that she had to rewrite the whole thing.
obviate,,to make unnecessary; to avert,AHB vee ayt; obviates the sins,
occasion,,,,
occupy; occupied,,,occupied [with],
occur; occurrence,,,,
oddly,,,,
odious,,extremely unpleasant; repulsive,,odious decision; an odious character
offense; offend; offensive,true,an injury; to take injury; injurious,Don't be so quick to take offense.; actionable offense,
offhand,,,offhand statement,
official,,,,
officiate,,,,
officious,,annoyingly eager to help or advise,uh FISH us,
offload,,,,
oligarchy,,government by only a very few people,AHL uh gahr kee,
ominous,,"threatening, inauspicious, unfortunate",,
ominus,,,,
"omit, omission",,,,
omnibus,,"of, relating to, or providing for many things at once",,
omnipresent,,present everywhere simultaneously,,
omniscient,,describes someone who knows everything,,
on cue,,,,
onerous,,describes a difficult task or heavy responsibility that one does not desire,O ner us,
ontological,,of or relating to being or existence,,
onus,,something that involves considerable difficulty or annoyance; a burden,,
"opaque, opacity",,impossible to see through; impossible to understand; obscure,oh PAYK,
operative,,,,
opine,,to give a formal opinion about,rashly opine,
opportune; inopportune; opportunists,,occurring or coming at a good time; appropriate,ah pur TYOON,opportunist; opportunely; the opportune moment for announcing; an opportune time for …
opposition [to],,,stiff opposition,
oppressive,,,,
optimal; optimally,,,,
optimize,,,,
optionally,,,,
opulent; opulence,,displaying great wealth,OP yoo lent,
"oracle, oracular",,,,
orally,,,,
order,,,,
order of precedence,,,,
ordinary; ordinarily,,,,
ordinate,,,,
orientation,,,,
origin,,,,
orthodox; unorthodox,,"conventional; adhering to established principles or doctrines, especially in religion; by the book",OR thuh dahks,An orthodox religion is one that holds fast to historical views that have not changed.; The orthodox view of the earth is that…
oscillate,,to swing back and forth; to pulsate; to waver or vacillate between beliefs or ideas,AHS uh layt,
osmosis,,a gradual or subtle absorption,ahs MOH sis,
ossify,,to convert into bone; to become rigid,,
"ostensible, ostensibly",,seemingly; apparently; professed,ah STEN suh bul,
ostensive,,,,
ostentatious,,"excessively conspicuous; flashy, boastful",,
ostracize; ostracism,,to exclude from a group; to shun,AHS truh syze,felt ostracized; he was ostracized by his teammates as well
otherwise,,,,
outlaw,,,outlaw moral discernment,
outlet,,,,
outrage; outrageous,,,shrieking outrage,
over-emphatic,,,,
overexposure,,,,
overextended,,,,
overinvestment,,,,
overlay,,,,
overreach,,,,
"oversee, oversight",,,,
oversimplify; oversimplifying; oversimplification,,,,
overt; overtly,,open and observable,,
overture,,opening move; preliminary offer,OH vur chur,
oxymoron; oxymoronic,,a figure of speech in which two contradictory or incongruous words or phrases are used together; relating to a combination of contradictory or incongruous words,"ahk see MAWR ahn
""accidentally on purpose"" is an oxymoron",
pacify,,to calm someone down; to placate,,
painstaking; painstakingly,,extremely careful; taking pains,,
pair,,,,
palatable; unpalatable,,,,
pall,,,,
palliate; palliative,,"to hide the seriousness of something with excuses or apologies; to relieve or alleviate something without getting rid of the problem; to assuage; to mitigate, something that moderates the intensity of",,
pallid,,lacking brightness or intensity,,
palpable; palpably,,"refers to something so strong or intense that its presence is impossible to ignore; obvious; tangible, transparently, perciptibly",PAL pah bull,
paltry,,insignificant; trivial,,
panacea,,something that cures everything,pan-uh-see-uh,
pandemic,,prevalent throughout a large area; a pandemic is an epidemic on a larger scale,pan DEM ik,
paneling,,,,
parable,,religious allegory; fable; morality tale,PAR uh bul,
paradigm; paradigmatic,,an idealistic model; a way of thinking,PAR uh dime,
paradox; paradoxical; paradoxically,,a situation in which something seems both true and false; an untrue statement that seems logical,PAIR uh dahks,
paragon,,a model or pattern of excellence,PAR uh gahn,
parallel,,a comparision made between two things; in geometry: running side by side in the same direction,,
parameter,,a factor or variable that must be taken into account when solving a problem or understanding a situation,pah RAM ih terr,
paramount,,,,
paraphrase,,,,
"parasite, parasitic",,,,
pardon,,"excuse or forgive for a fault, offense, or discourtesy",,
pare,,,,
parity,,"equality, as in amount, status, or value (antonym: disparity)",PA ruh tee,
parlay,,to transform into something of much greater value,,
parochial,,narrow or confined in point of view; provincial,,
"parody, parodic",,a satirical imitation,,
parse; parsing,,"to examine in a minute way, analyze critically",,
parsimony; parsimonious,,excessively frugal,,
"part, parted",,,,
participate; participatory,,,participatory management,
particular; particularly; particularity,,,,
partisan,,"an adherent or supporter of a person, group, party, or cause, especially a person who shows a biased, emotional allegiance",PAR tiz un,
partition,,"the division of something into parts; dividing wall; the action of parting, dividing, sectioning",par TISH un,paritioned into North and South; The beds in the emergency room were partitioned with portable screens for the patients' privacy.; partitions separating the tennis courts
passage of time,,,,
passenger,,,,
patchwork,,"something made up of an incongruous variety of pieces or parts; improvised, makeshift",,
patent; patently,,obvious; manifestly; plainly,,
paternal,,fatherly; fatherlike,,
pathological,,,,
pathology,,the science of diseases,,
patient; impatient; patience,,,,
patriarch,,the male head of a family or tribe,,
patronize,,to adopt an air of condescension toward; to treat as an inferior; treat with kindness tinged with superiority,,
patter,,,,
paucity,,"scarcity, smallness in number","PAW sit ee
The paucity of the data is a real problem for this study",
pause,,,,
pawn,,,he is a pawn of the political establishment,
peculiar,,distinctive in nature or character,,
pecuniary,,of or pertaining to money,pi-kyoo-nee-er-ee,
pedagogical,,"of, relating to, or befitting a teacher or education",,
pedagogue,,"a strict, overly academic teacher",,
pedantic,,boringly scholarly or academic; excessively concerned with book learning and formal rules,puh DAN tik,
peddle; peddler,,,,
pedestrian,,unimaginative; banal,,
peevish,,irritable,,
pejorative,,"disparaging, insulting",puh JOR uh tiv,
penance,,,,
"penance, penances",,,,
penchant; penchance,,a strong taste or liking for something; a predilection,PEN chent,
pendency,,,,
pending,,,,
penitent; penitence,,feeling sorrow and remorse for past misdeeds; repentant; contrite; contrition; repentance,PEN ih tunt,Clark became penitent when he learned his careless driving led to…; The penitent young boys apologized for…; felt penitent that…
pennance,,,,
pensive; pensively,,in deep thought; reflecting in a dreamlike state; thoughtful and sad,PEN siv,
penurious,,poor as well as stingy,,
peppered [with/by],,,,
perceive; perceived; perception,,,,
perceptive,,intuitive,,
perceptive; perceptible; perceptibly,,,,
perceptual,,,perceptual screen,
percolate; percolating,,to pass through a porous substance; filter; ooze; seep; trickle,percolating down,
peremptory,,final; categorical; dictatorial; offering no opportunity for dispute,,
perennial,,continual; lasting for an indefinitely long time; enduring,,
perfidy,,deliberate breach of faith or trust; faithlessness; treachery,,
"perforate, perforated",,pierced with a hole or holes,,
perfunctory,,performed merely as a routine duty; hasty and superficial; out of habit,per FUNK ter ee,a perfunctory smile
"perilous, perilously; perils",,full of danger or risk,,
periphery; peripheral,,the outside edge of something,,"On the periphery of any argument, she will listen but rarely ever speak.; What you see out of the periphery of your eyes is your peripheral vision."
"perjury, perjure",,lying under oath,,
permeate; permeating,,to flow or spread through; to seep through; to penetrate,PER mee ayt,Corruption permeated every level of the government.; the smell of gasoline permeated the flight cabin; the rain had permeated every inch of his clothing
permissible,,,,
permissive,,,,
pernicious,,highly injurious or destructive; irrevocably harmful; deadly,per NISH us,
perpetrate; perpetrated; perpetrator,,,,
perpetual,,unending,,
perpetuate; perpetuates,,to cause to last indefinitely,pu PECH oo ayt; perpetuate the problem,
"perplex, perplexed; perplexion",,,,
perquisite,,"a privelege that goes along with a job; a ""perk""",,
persevere [in]; perseverence,,,,
persist; persistence,,"Continue firmly or obstinately in an opinion or a course of action in spite of difficulty, opposition, or failure",,
"personify, personification",,,,
pertinent [to],,associated with; relative to,,
pertinent; pertinence,,relevant; dealing with the matter at hand; important,,
perturbed,,,,
peruse; perusal,,to read carefully; to examine carefully,casual perusal,
pervade; pervasive; pervasiveness [of],,to exist throughout; to spread completely,per VAYD,
perverse; perversion; perverseness,,stubborn; contrary; intractable; turned away from what is right and good,pur VERS,takes perverse pleasure in…
pervious,,allowing passage through; that which can be penetrated or permeated,The man was pervious to criticism and often benefited from the constructive advice of his colleagues.,
pesky,,,,
pessimism; pessimistic (optimistic),,,,
pester; pestering,,,,
"petrify, petrified (v,adj)",,"to benumb or paralyze with astonishment, horror, or other strong emotion",,
"petulant, petulance",true,"irritable; ill-humored; cranky; rude; showing sudden, impatient irritation over some trifling annoyance",PEH chew lunt,petulant old man
philanthropic,,humanitarian; benevolent; relating to monetary generosity,fil un THROP ik,
philistine,,lacking in or hostile to culture; smugly commonplace or conventional,,
phlegmatic,,calm or indifferent; not easily roused to excitement,fleg MAT ik,
phobic,,,,
phonetic,,,,
piecemeal,,bit by bit; one piece at a time; gradually,as a whole / piecemeal,
pinnacle,,,,
pious; piety,,reverent or devout; outwardly (and sometimes falsely) reverent or devout,pye-uhs,
piquant,,something attractively offbeat; provocative,,
pitch,,declaration,,
pittance,,,,
pivot,,,,
pivotal,,crucial,,
placate,,"to appease or pacify, especially by concessions or conciliatory gestures",PLAY-kayt,
placebo,,,,
placebo,,a fake medication; a fake medication used as a control in the tests of the effectiveness of drugs,pluh SEE boh,
placeholder,,,,
placid,,pleasantly calm or peaceful; unruffled; tranquil; serenely quiet or undisturbed,PLAS id,
plaintive,,expressing sadness or sorrow,,
platform,,,,
platitude,,"a trite, meaningless, biased, or prosaic statement, often presented as if it were significant and original",,
platonic,,,,
platonic,,nonsexual; purely spiritual,pluh THAN ik,
plausible,,believable; convincing,PLAW zuh bul,
"plea, pleas",,,,
plead [with]; pleaded; pleading,,,,
please /displease,,,,
plebian,,belonging or pertaining to the common people; common,,
pledge,,"guarantee, commit",,
plenary,,,,
pliable,,easily influenced,,
plight,,"dangerous, distressing, or unpleasant situation",plyte,the plight of the good guys; rescue the fifty hostages from their plight; advised him not to worsen the plight
ploy,,"a maneuver or stratagem, as in conversation, to gain the advantage",ploi,
plummet,,,,plummeted to
plunder,,to loot; to ransack,PLUN dur,
plunge; plunged,,,,
pluralism; pluralistic,,a condition of society in which distinct groups exist and function together yet retain their own identities,PLOOR uh liz um,
pocket,,,,
poignant,,affecting or moving the emotions,poin-yuhnt,
pointedly,,,,
poise; poised,,"a dignified, self-confident manner; composure",,
polarity,,,,
polarize,,to break up into opposing factions or groupings,,
polemic,,a powerful argument often made to attack or refute a controversial issue,,
polemic/polemical; polemecist,,a strong verbal or written attack on someone or something; diatribe; rant; tirade,,
polish; polished,,"to render finished, refined, or elegant",,
"pollute, polluted",,,,
pompous; pomposity,,,,
ponder,,consider carefully,pondered their next move,
ponderous,,dull; large and clumsy; massive; dull; too long (speech),,
pontificate,,to speak pompously or dogmatically,pahn TIF uh kayt,
pore [over]; poring,,,,
porous,,"permeable to outside influences, capable of being pentrated",,
portend,,to indicate in advance; to foreshadow; to signify; to mean,,
portent; portentous,,an omen; a sign of something coming in the future,POR tent,
portray; portrayed,,,,
pose,,to offer for attention or consideration,,
posit,,to set in place or position; situate; to set down or assume as fact; postulate,,
possessive,,,,
posterior,,"coming after in order, as in a series",po-steer-ee-er,
postpone; postponement,,,,
post-positional,,,,
postulate; postulation; postulating,,"a proposition advanced as axiomatic; an essential presupposition, condition, or premise; an underlying hypothesis or assumption, (antonym: corroborate)",,
posture; posturing,,"to position, especially strategically",,
potency,,,,
potent,,powerful; mighty; cogent; persuasive,,
potentiate,,,,
practitioner,,,,
precarious,,"tenuous, positioned so as to be in danger of falling; dependent on circumstances beyond one's control; uncertain; unstable; unsteady; insecure",pruh KARE ee us,a precarious bridge; the precarious ladder; The precariousness of their situation did not fully strike the fishermen until their small boat arrived at the dock only moments before the storm struck.; Isabel's habit of arriving at work late almost every morning made her job future precariously uncertain.
precede / succeed (follow),,,,
precedent,,an earlier example or model of something,,
precept,,a principle prescribing a particular course of action,,
precipice,,,,
precipitate,,to cause to happen abruptly; to hasten,,
"precipitous, precipitously",,steep,precipitous rise,
precise; precision; precisely,,,"precise definition; He speaks with the precision of a mathemetician, carefully measuring each word out.",
"preclude, precluded",,prevent from happening; make impossible or unnecessary; to shut out,,
precocious; precocity; precociousnous,,"unusually advanced or mature in development, especially mental development; exhibiting early aptitude",pri KOH shus,
precocity,,early intellectual or artistic development,,
precondition,,"something that is necessary to an end or to the carrying out of a function, prerequisite",,
precursor,,one that precedes and indicates the approach of another,,
predate,,,,
predatory,,,,
predecessor,,one that precedes,successor,
predicament,,a dangerous or unpleasant situation; a dilemma,pri DIK uh munt,
"predicate, predicated",,to state or affirm; imply; to base or establish,,
predict; predictive,,,,
predictably,,,,
predilection,,a natural preference for something,,
predispose; predisposed,,to make susceptible; to incline toward,pree di SPOHZ,
predisposition,,,,
predominant; predominate; predominantly,,most important; dominant; having power over others,pri DAHM uh nunt,
preempt,,to acquire or appropriate before someone else; take for oneself; arrogate,,
preface; prefacing,,,,prefacing with
prefatory,,"of, involving, or serving as a preface; introductory",,
preferential,,,,
prefix/suffix,,,,
prejadiced,,,,
prelude,,introduction; something that precedes something else,PREL yood; a prelude to,
premeditated,,planned beforehand; prearranged; plotted,pri MED I tayt ud,
premise,,an assumption; the basis for a conclusion,,
premonition,,,,
premonition,,,,
preoccupation,,,,
"preoccupy, preoccupied",,,,
prepend; append,,,,
preponderance,,,,
preposition,,"Prepositions are short words (on, in, to) that usually stand in front of nouns (sometimes also in front of gerund verbs).","The prepositions of, to and in are among the ten most frequent words in English.
http://www.ego4u.com/en/cram-up/grammar/prepositionsThe prepositions of, to and in are among the ten most frequent words in English.
http://www.ego4u.com/en/cram-up/grammar/prepositionsThe prepositions of, to and in are among the ten most frequent words in English.
http://www.ego4u.com/en/cram-up/grammar/prepositionsThe prepositions of, to and in are among the ten most frequent words in English.
http://www.ego4u.com/en/cram-up/grammar/prepositionsThe prepositions of, to and in are among the ten most frequent words in English.
http://www.ego4u.com/en/cram-up/grammar/prepositions",
pre-positional,,,,
prepossess,,to preoccupy; to influence beforehand or prejudice,pree puh ZES,
prerogative,,a right or privelege connected exclusively with something,,
presage,,,,
prescience; prescient,,knowledge of events before they take place; foresight,PRE shens,
prescribe; prescription,,,,
presence,,,presence of mind,
preserve,,,,
press; pressed,,,,
pressing,,,,
prestige,,"power to influence due to success, wealth, or character",,
presumably,,probably; the assumption is that; doubtless,pri ZOO muh blee,
presume,,to accept as true; lacking proof to the contrary,,
presumptive,,"apparent, presumed; based on inference",,
presumptuous,,unwarrantedly or impertinently bold; forwardunwarrantedly or impertinently bold; forwardunwarrantedly or impertinently bold; forwardunwarrantedly or impertinently bold; forward,pre SUMP shu ehs,
"presuppose, presupposes; presupposition",,to assume beforehand; to take for granted in advance; to require as a prior condition,pree suh POHZ,
pretense; pretenses,true,the act of pretending  or alleging falsely; a false allegation or justification,without pretense,
pretension,,an allegation of doubtful value,,
pretentious,,"expressive of affected, unwarranted, or exaggerated importance, worth, or stature",,
pretext,true,,,
pre-trial discovery,,,,
prevail; prevailed,,to triumph; to overcome rivals,,
prevalent,,,,
primacy,,"the state of being first in order, rank, importance",,
primal,,first; original; of the greatest importance,PRYE mul,
primative,,,,
prism (n,,,,
pristine,,original; unspoiled; pure,,
privilege; privileged,,,,
privy,,participating in the knowledge of something private or secret,priv-ee,
pro rata,,,,
probable,,,,
probe; probing,,,probe the defects; I'm just probing.,
probity,,integrity; uprightness; honesty,,
proceeds,,,,
proclaim; proclamation,,,,
proclivity; proclivities,,natural or habitual inclination or tendency; propensity; predisposition,,
prod; prodding,,,,
prodigal,,wastefully extravagant,,
prodigous,,"extraordinary in size, amount, extent, degree, force, etc; enormous",pruh DIJ us,
prodigy,,an extremely talented child; an extraordinary accomplishment or occurrence,,
profane,,irreverent; blasphemous,,
profess,,"declare, assert",,
profetic,,,,
proficient,,"highly competent, adept; skillful",,
proficio,,,,
profligate,,"extravagantly wasteful and, usually, wildly immoral",,
"profound, profoundly; profundity",,deep,,
profundity,,"great depth of intellect, feeling, or meaning",pro FUN di tee,
profuse; profusely,,abundant; in great amount; flowing; extravagant,,
"progress, progression",,,,
"prohibit, prohibitive",,,,
proletariat,,the industrial working class,,
"proliferate, proliferated; proliferation",,to grow or increase rapidly; to multiply,pro LIF er ayt,
prolific,,,,
prolific,,abundantly productive,,
prologue,,,,
prolong,,,,
prominent; prominently; prominence,,less/more prominent,,
promote,,,,
prompt,,,,
promulgate; promulgated,,to proclaim; to formally or publicly declare something,,
prone [to],,,,
"pronounce, pronounced",,,,
propel; propelled; propeller,,,,propelled by a propeller
propensity,,a natural inclination or tendency; a predilection,,
"proper, propriety",,conformity to established standards of good or proper behavior or manners,,
propitious,,marked by favorable signs or conditions; indicative of favor; auspicious,,
propogate; propogation,,to multiply,,
proponent,,an advocate; a supporter of a position,,
"propose, proposition",,,,
proprietary,,characteristic of an owner or property; constituting property,,
propriety,,properness; good manners,,
prosaic,,dull; unimaginative; like prose,pro ZAY ik,
"proscribe, proscription",,to outlaw; to prohibit; act of proscribing,,
prose,,,,
prose,,,,
prosecute; prosecution,,bring before a court; follow up; carry on,,
proselytize,,to convert (someone) from one religiton or doctrine to another; to recruit converts to a religion or doctrine,,
prospect,,,,
prospective; prospectively,,,,prospective employer/client
prospectus,,formal proposal,pro SPEK tus,
prosper; prosperity; prosperous,,,,
protagonist,,"the leading character in a novel, play, or other work; a leader or champion",,
protégé,,,,
protest,,,,
protocol,,etiquette or the rules governing polite behavior,,
prototype,,,,
protract; protracted,,to prolong,,
protrude; protrusive; protrusion,,,,
"proverb, proverbial",,,,the proverbial white forklift driver with only a high school diploma
